Epoch	L1_loss (x100)
0.5510	3.87983
0.6010	3.67063
0.6510	3.68401
0.7010	3.48920
0.7510	3.47503
0.8010	3.44991
0.8510	3.35779
0.9010	3.19218
0.9510	3.22852
1.0010	3.13861
1.0510	2.96755
1.1010	2.98896
1.1510	2.82100
1.2010	2.82467
1.2510	2.72519
1.3010	2.71022
1.3510	2.79231
1.4010	2.82488
1.4510	2.70720
1.5010	2.65538
1.5510	2.50787
1.6010	2.46574
1.6510	2.38751
1.7010	2.26339
1.7510	2.49843
1.8010	2.59688
1.8510	2.58227
1.9010	2.49763
1.9510	2.24196
2.0010	2.35582
2.0510	2.36087
2.1010	2.25723
2.1510	2.25071
2.2010	2.19899
2.2510	2.07879
2.3010	2.18956
2.3510	2.56810
2.4010	2.49850
2.4510	2.54634
2.5010	2.24531
2.5510	2.15749
2.6010	2.13321
2.6510	2.24094
2.7010	2.22426
2.7510	2.10481
2.8010	2.15398
2.8510	2.21819
2.9010	2.04800
2.9510	1.97291
3.0010	2.02247
3.0510	1.91986
3.1010	1.97654
3.1510	1.78579
3.2010	1.87645
3.2510	1.86602
3.3010	1.86308
3.3510	1.98016
3.4010	2.07419
3.4510	2.22121
3.5010	2.42031
3.5510	2.19853
3.6010	2.05609
3.6510	2.17063
3.7010	1.95758
3.7510	1.99924
3.8010	1.97097
3.8510	1.76030
3.9010	1.82913
3.9510	1.81788
4.0010	1.94804
4.0510	2.15917
4.1010	2.38181
4.1510	2.52692
4.2010	2.46559
4.2510	2.33019
4.3010	2.28496
4.3510	2.10792
4.4010	1.96801
4.4510	2.14506
4.5010	2.22137
4.5510	2.34410
4.6010	2.39275
4.6510	2.10816
4.7010	2.25823
4.7510	2.20483
4.8010	2.12728
4.8510	2.01954
4.9010	2.07646
4.9510	2.09776
5.0010	2.20049
5.0510	1.96458
5.1010	2.27909
5.1510	2.36826
5.2010	2.18641
5.2510	2.24581
5.3010	2.22291
5.3510	2.08489
5.4010	2.13752
5.4510	2.30396
5.5010	2.02250
5.5510	1.92748
5.6010	2.05237
5.6510	1.96756
5.7010	2.06415
5.7510	2.02396
5.8010	2.14357
5.8510	2.30667
5.9010	2.37073
5.9510	2.34306
6.0010	2.44949
6.0510	2.27456
6.1010	2.23072
6.1510	2.27295
6.2010	2.14110
6.2510	2.09555
6.3010	2.00334
6.3510	1.95553
6.4010	1.82353
6.4510	1.89182
6.5010	1.96228
6.5510	2.12377
6.6010	1.98793
6.6510	1.99936
6.7010	1.99792
6.7510	2.06704
6.8010	2.08840
6.8510	2.13530
6.9010	2.04550
6.9510	2.07502
7.0010	2.14991
7.0510	2.28187
7.1010	1.99173
7.1510	2.08657
7.2010	2.04813
7.2510	1.80411
7.3010	1.87721
7.3510	1.90516
7.4010	1.74139
7.4510	1.89243
7.5010	1.89995
7.5510	2.07556
7.6010	2.13203
7.6510	1.96715
7.7010	2.09833
7.7510	2.21146
7.8010	2.20204
7.8510	2.19003
7.9010	2.06463
7.9510	2.07843
8.0010	1.94748
8.0510	1.87440
8.1010	1.93130
8.1510	1.79778
8.2010	1.75619
8.2510	1.76410
8.3010	1.65531
8.3510	1.67202
8.4010	1.83373
8.4510	1.82943
8.5010	1.72745
8.5510	1.63269
8.6010	1.82233
8.6510	1.72475
8.7010	1.88745
8.7510	1.97445
8.8010	1.94357
8.8510	2.00965
8.9010	1.83616
8.9510	1.66287
9.0010	1.73330
9.0510	1.85835
9.1010	1.79577
9.1510	1.75625
9.2010	1.67847
9.2510	1.68159
9.3010	1.78152
9.3510	1.81949
9.4010	1.77571
9.4510	1.82137
9.5010	1.86783
9.5510	1.89594
9.6010	1.79098
9.6510	1.90134
9.7010	1.93642
9.7510	2.01029
9.8010	1.98042
9.8510	1.90890
9.9010	1.90431
9.9510	1.93270
10.0010	1.88142
10.0510	1.88511
10.1010	1.91550
10.1510	1.75746
10.2010	1.83024
10.2510	1.69236
10.3010	2.00126
10.3510	1.78618
10.4010	1.69850
10.4510	1.64066
10.5010	1.84111
10.5510	1.82035
10.6010	1.66770
10.6510	1.75335
10.7010	1.74502
10.7510	1.75935
10.8010	1.75226
10.8510	1.78647
10.9010	1.79950
10.9510	1.79742
11.0010	1.82787
11.0510	1.77893
11.1010	1.71211
11.1510	1.90138
11.2010	1.86673
11.2510	1.89136
11.3010	1.92501
11.3510	1.99188
11.4010	1.99568
11.4510	1.90199
11.5010	1.79777
11.5510	1.83511
11.6010	1.78392
11.6510	1.84739
11.7010	2.02746
11.7510	1.84731
11.8010	1.72409
11.8510	1.79606
11.9010	1.71732
11.9510	1.60352
12.0010	1.67388
12.0510	1.72695
12.1010	2.01399
12.1510	1.76958
12.2010	1.69345
12.2510	1.73257
12.3010	1.75527
12.3510	1.94884
12.4010	2.13107
12.4510	2.20446
12.5010	2.17455
12.5510	1.97067
12.6010	2.01481
12.6510	1.93255
12.7010	1.86230
12.7510	1.77745
12.8010	1.88576
12.8510	1.88647
12.9010	1.91984
12.9510	1.91973
13.0010	2.03751
13.0510	1.93977
13.1010	2.00735
13.1510	1.91705
13.2010	1.97911
13.2510	1.81861
13.3010	1.78519
13.3510	1.75059
13.4010	1.89733
13.4510	2.01502
13.5010	1.96517
13.5510	1.77776
13.6010	1.79812
13.6510	1.72207
13.7010	1.66937
13.7510	1.60373
13.8010	1.73305
13.8510	1.61750
13.9010	1.73654
13.9510	1.77338
14.0010	1.83755
14.0510	1.87159
14.1010	1.94606
14.1510	1.76036
14.2010	1.73044
14.2510	1.70871
14.3010	1.71719
14.3510	1.72022
14.4010	1.85997
14.4510	1.99358
14.5010	1.89806
14.5510	1.86863
14.6010	1.66690
14.6510	1.63408
14.7010	1.79668
14.7510	1.62462
14.8010	1.60259
14.8510	1.60346
14.9010	1.53593
14.9510	1.53956
15.0010	1.51699
15.0510	1.48086
15.1010	1.48740
15.1510	1.59675
15.2010	1.60234
15.2510	1.51579
15.3010	1.52231
15.3510	1.48475
15.4010	1.49940
15.4510	1.51898
15.5010	1.48766
15.5510	1.45271
15.6010	1.45436
15.6510	1.43468
15.7010	1.31824
15.7510	1.40894
15.8010	1.38402
15.8510	1.42487
15.9010	1.42578
15.9510	1.37552
16.0010	1.34674
16.0510	1.44819
16.1010	1.40741
16.1510	1.46533
16.2010	1.43673
16.2510	1.40908
16.3010	1.40373
16.3510	1.31703
16.4010	1.32075
16.4510	1.42376
16.5010	1.38007
16.5510	1.41326
16.6010	1.40560
16.6510	1.47215
16.7010	1.46388
16.7510	1.46941
16.8010	1.36362
16.8510	1.31848
16.9010	1.42023
16.9510	1.40796
17.0010	1.48716
17.0510	1.52895
17.1010	1.51449
17.1510	1.51275
17.2010	1.43825
17.2510	1.28044
17.3010	1.23433
17.3510	1.32708
17.4010	1.42659
17.4510	1.40814
17.5010	1.39474
17.5510	1.45336
17.6010	1.43639
17.6510	1.42560
17.7010	1.39254
17.7510	1.36097
17.8010	1.34852
17.8510	1.32962
17.9010	1.25389
17.9510	1.23169
18.0010	1.23777
18.0510	1.36376
18.1010	1.30545
18.1510	1.28524
18.2010	1.25533
18.2510	1.24953
18.3010	1.32246
18.3510	1.39332
