Epoch	Accuracy %
0.0010	49.54194
0.0510	59.49961
0.1010	58.96835
0.1510	58.68191
0.2010	59.25088
0.2510	60.49673
0.3010	63.76829
0.3510	62.45064
0.4010	64.59545
0.4510	66.00570
0.5010	63.66668
0.5510	64.04554
0.6010	65.59439
0.6510	64.50372
0.7010	63.68628
0.7510	61.48540
0.8010	62.73646
0.8510	62.06720
0.9010	62.39764
0.9510	61.89374
1.0010	62.29100
1.0510	62.89992
1.1010	62.13490
1.1510	63.04674
1.2010	63.15243
1.2510	63.18406
1.3010	63.42478
1.3510	61.61155
1.4010	60.72155
1.4510	60.95251
1.5010	61.45954
1.5510	63.31090
1.6010	62.41310
1.6510	63.48426
1.7010	64.32317
1.7510	62.31469
1.8010	59.54184
1.8510	60.60363
1.9010	61.25314
1.9510	63.72816
2.0010	62.32116
2.0510	62.57896
2.1010	63.61386
2.1510	62.94724
2.2010	63.79794
2.2510	65.06467
2.3010	63.62196
2.3510	61.37062
2.4010	60.64865
2.4510	60.57812
2.5010	63.69743
2.5510	63.61044
2.6010	64.46983
2.6510	62.96876
2.7010	61.85648
2.7510	64.28690
2.8010	63.46671
2.8510	62.94087
2.9010	65.65284
2.9510	66.60358
3.0010	64.59079
3.0510	65.91180
3.1010	65.45183
3.1510	69.35455
3.2010	67.64670
3.2510	67.38909
3.3010	67.25409
3.3510	65.21890
3.4010	63.38501
3.4510	61.50583
3.5010	59.75611
3.5510	62.19875
3.6010	64.40424
3.6510	63.69156
3.7010	66.53978
3.7510	65.40039
3.8010	65.73328
3.8510	68.90452
3.9010	67.25217
3.9510	67.91640
4.0010	65.75608
4.0510	63.68467
4.1010	60.75955
4.1510	58.95098
4.2010	58.75683
4.2510	61.15323
4.3010	62.24733
4.3510	63.95971
4.4010	66.58720
4.4510	64.00287
4.5010	62.20420
4.5510	60.14774
4.6010	61.63310
4.6510	64.92165
4.7010	64.14120
4.7510	63.27451
4.8010	63.43513
4.8510	65.41765
4.9010	64.27488
4.9510	64.07687
5.0010	62.10755
5.0510	64.82945
5.1010	60.94672
5.1510	61.10888
5.2010	63.64681
5.2510	62.47773
5.3010	63.20882
5.3510	65.03437
5.4010	64.14311
5.4510	61.76136
5.5010	65.00926
5.5510	65.97406
5.6010	63.30031
5.6510	64.55840
5.7010	64.14329
5.7510	64.88588
5.8010	63.15569
5.8510	62.96233
5.9010	63.12448
5.9510	61.79603
6.0010	59.29633
6.0510	61.51944
6.1010	61.50530
6.1510	60.93151
6.2010	62.06715
6.2510	62.63767
6.3010	63.72782
6.3510	64.39993
6.4010	65.95727
6.4510	64.65422
6.5010	63.27784
6.5510	60.71692
6.6010	62.41510
6.6510	62.76336
6.7010	63.15126
6.7510	63.14871
6.8010	62.68526
6.8510	62.26592
6.9010	63.74619
6.9510	63.60825
7.0010	62.89786
7.0510	61.38179
7.1010	64.12136
7.1510	62.80723
7.2010	62.95967
7.2510	65.57353
7.3010	65.50903
7.3510	64.51989
7.4010	66.31708
7.4510	63.98263
7.5010	62.91309
7.5510	59.89098
7.6010	59.12863
7.6510	62.06974
7.7010	59.79486
7.7510	59.64142
7.8010	59.45328
7.8510	59.52172
7.9010	60.54372
7.9510	60.24350
8.0010	62.66814
8.0510	63.45677
8.1010	62.50799
8.1510	64.73160
8.2010	64.44272
8.2510	65.05255
8.3010	66.26183
8.3510	66.63234
8.4010	65.38519
8.4510	64.75856
8.5010	65.10761
8.5510	66.32271
8.6010	63.85992
8.6510	65.94597
8.7010	64.45780
8.7510	63.22392
8.8010	63.85937
8.8510	62.88086
8.9010	64.74072
8.9510	66.64357
9.0010	65.25570
9.0510	63.20223
9.1010	64.01644
9.1510	64.62357
9.2010	65.50571
9.2510	65.05152
9.3010	62.75857
9.3510	62.63195
9.4010	64.15179
9.4510	63.60922
9.5010	62.93600
9.5510	62.21484
9.6010	64.06844
9.6510	63.59177
9.7010	62.16757
9.7510	60.17913
9.8010	60.62668
9.8510	62.26000
9.9010	62.49851
9.9510	61.54304
10.0010	62.29650
10.0510	63.09993
10.1010	61.60814
10.1510	64.39708
10.2010	64.28488
10.2510	66.83662
10.3010	61.74711
10.3510	64.54673
10.4010	66.72996
10.4510	67.08674
10.5010	64.18033
10.5510	63.79626
10.6010	65.92305
10.6510	64.48859
10.7010	65.59850
10.7510	65.91439
10.8010	65.53412
10.8510	65.01040
10.9010	65.24685
10.9510	65.62121
11.0010	64.10714
11.0510	64.14112
11.1010	65.10873
11.1510	62.10583
11.2010	62.89214
11.2510	62.50911
11.3010	61.88424
11.3510	60.60066
11.4010	60.32895
11.4510	62.31171
11.5010	63.14871
11.5510	63.12721
11.6010	64.06922
11.6510	62.68308
11.7010	59.53026
11.7510	62.11544
11.8010	64.46149
11.8510	63.35592
11.9010	65.29529
11.9510	66.48390
12.0010	65.57916
12.0510	65.77188
12.1010	61.84636
12.1510	65.92003
12.2010	66.71006
12.2510	66.34459
12.3010	66.39503
12.3510	63.82727
12.4010	61.69944
12.4510	60.75718
12.5010	60.71422
12.5510	63.83027
12.6010	61.23358
12.6510	62.59921
12.7010	64.33999
12.7510	66.04610
12.8010	65.03762
12.8510	64.35911
12.9010	64.42589
12.9510	63.56094
13.0010	62.77901
13.0510	64.27003
13.1010	63.73824
13.1510	64.41607
13.2010	63.42287
13.2510	65.31366
13.3010	65.79297
13.3510	65.70915
13.4010	64.07780
13.4510	61.57259
13.5010	61.61346
13.5510	65.16716
13.6010	64.16703
13.6510	64.18331
13.7010	64.24038
13.7510	64.79729
13.8010	62.88728
13.8510	64.70872
13.9010	61.89326
13.9510	61.81586
14.0010	61.39412
14.0510	61.14154
14.1010	60.60932
14.1510	64.63473
14.2010	64.94538
14.2510	65.08809
14.3010	65.02336
14.3510	64.25371
14.4010	63.30822
14.4510	61.44691
14.5010	61.29420
14.5510	62.14206
14.6010	64.13329
14.6510	64.77413
14.7010	61.59802
14.7510	65.24612
14.8010	66.17529
14.8510	65.75349
14.9010	66.84953
14.9510	66.17082
15.0010	66.18291
15.0510	68.48698
15.1010	68.86387
15.1510	67.49973
15.2010	66.68093
15.2510	68.33353
15.3010	68.58397
15.3510	68.75686
15.4010	67.55521
15.4510	66.49928
15.5010	67.92389
15.5510	69.06415
15.6010	68.18585
15.6510	68.70205
15.7010	71.30193
15.7510	70.09147
15.8010	70.85177
15.8510	70.34251
15.9010	69.61515
15.9510	70.38470
16.0010	70.57633
16.0510	70.16178
16.1010	69.60776
16.1510	67.91626
16.2010	67.84415
16.2510	68.81317
16.3010	69.30230
16.3510	70.66149
16.4010	70.69438
16.4510	68.83362
16.5010	70.75702
16.5510	70.37014
16.6010	69.55945
16.6510	67.24436
16.7010	68.04049
16.7510	68.50031
16.8010	70.22071
16.8510	70.93521
16.9010	69.44414
16.9510	69.87324
17.0010	68.02832
17.0510	67.19394
17.1010	66.86035
17.1510	66.47635
17.2010	68.34689
17.2510	72.19000
17.3010	72.69998
17.3510	71.61716
17.4010	69.68083
17.4510	69.58435
17.5010	70.38321
17.5510	69.16755
17.6010	69.73886
17.6510	69.67447
17.7010	70.18762
17.7510	69.82101
17.8010	70.57029
17.8510	69.95348
17.9010	70.56988
17.9510	70.88506
18.0010	72.23166
18.0510	69.86173
18.1010	70.32908
18.1510	69.85430
18.2010	70.68032
18.2510	71.47292
18.3010	70.36775
18.3510	68.70760
18.4010	70.51047
18.4510	71.53093
18.5010	72.27753
18.5510	70.45669
18.6010	71.65805
18.6510	71.71000
18.7010	72.38110
18.7510	73.69152
18.8010	75.49806
18.8510	73.37143
18.9010	72.06567
18.9510	72.13448
19.0010	69.79876
19.0510	70.71885
19.1010	73.18769
19.1510	68.18900
19.2010	68.17946
19.2510	67.77718
19.3010	69.18457
19.3510	68.41252
19.4010	68.62314
19.4510	69.19191
19.5010	67.75140
19.5510	67.45504
19.6010	67.08601
19.6510	67.60604
19.7010	68.42138
19.7510	68.45903
19.8010	68.29783
19.8510	67.35923
19.9010	68.20535
19.9510	69.36959
20.0010	71.49870
20.0510	71.81199
20.1010	71.14835
20.1510	72.12308
20.2010	70.52057
20.2510	71.21290
20.3010	70.53357
20.3510	69.91416
20.4010	72.31286
20.4510	70.30529
20.5010	71.85608
20.5510	69.62141
20.6010	69.79635
20.6510	71.58356
20.7010	72.69713
20.7510	71.41391
20.8010	71.41042
20.8510	70.33575
20.9010	69.76371
20.9510	70.20265
21.0010	70.25977
21.0510	69.96391
21.1010	72.07859
21.1510	71.87890
21.2010	71.46376
21.2510	70.13034
21.3010	68.40444
21.3510	69.92944
21.4010	69.38035
21.4510	69.99450
21.5010	69.98671
21.5510	68.83571
21.6010	66.20371
21.6510	69.84416
21.7010	69.94262
21.7510	71.23334
21.8010	72.07584
21.8510	70.38649
21.9010	71.91222
21.9510	72.10530
22.0010	70.67233
22.0510	71.78915
22.1010	70.44042
22.1510	70.37147
22.2010	71.27240
22.2510	70.66473
22.3010	67.70853
22.3510	67.38077
22.4010	70.16059
22.4510	73.90158
22.5010	73.87182
22.5510	72.83866
22.6010	72.61155
22.6510	72.28074
22.7010	73.55362
22.7510	72.26792
22.8010	68.36562
22.8510	69.47842
22.9010	69.88839
22.9510	71.30373
23.0010	70.78561
23.0510	70.25769
23.1010	70.58906
23.1510	70.65183
23.2010	69.35249
23.2510	69.09089
23.3010	70.71949
23.3510	70.36254
23.4010	67.81761
23.4510	68.65953
23.5010	71.04473
23.5510	70.93943
23.6010	71.10420
23.6510	70.44578
23.7010	68.31579
23.7510	69.36523
23.8010	69.19799
23.8510	70.74797
23.9010	72.41377
23.9510	70.45739
24.0010	70.17034
24.0510	70.96719
24.1010	72.00367
24.1510	68.85632
24.2010	68.94735
24.2510	69.71343
24.3010	70.69882
24.3510	70.99214
24.4010	69.94562
24.4510	70.89055
24.5010	70.41277
24.5510	72.70438
24.6010	71.70717
24.6510	70.58678
24.7010	70.71430
24.7510	71.15377
24.8010	70.47662
24.8510	71.32651
24.9010	73.70456
24.9510	72.78119
25.0010	71.58831
25.0510	70.92159
25.1010	71.49529
25.1510	71.53129
25.2010	71.42337
25.2510	71.19485
25.3010	72.36325
25.3510	71.39992
25.4010	70.89526
25.4510	70.22154
25.5010	68.38530
25.5510	70.67285
25.6010	70.91934
25.6510	70.91479
25.7010	71.12823
25.7510	70.16568
25.8010	68.65832
25.8510	69.74152
25.9010	71.24433
25.9510	70.97348
26.0010	73.73862
26.0510	71.30784
26.1010	71.22360
26.1510	70.96020
26.2010	71.18034
26.2510	72.47940
26.3010	72.66489
26.3510	71.88330
26.4010	71.50459
26.4510	70.92367
26.5010	71.39758
26.5510	70.27196
26.6010	69.49832
26.6510	68.54528
26.7010	70.11768
26.7510	71.53824
26.8010	71.36251
26.8510	71.31380
26.9010	71.75822
26.9510	74.78582
27.0010	73.70731
27.0510	72.34496
27.1010	70.43809
27.1510	72.27344
27.2010	72.23632
27.2510	71.96876
27.3010	70.03254
27.3510	71.96609
27.4010	71.42015
27.4510	71.65462
27.5010	69.58435
27.5510	68.75870
27.6010	67.98624
27.6510	69.65407
27.7010	70.75594
27.7510	72.18606
27.8010	71.89775
27.8510	72.31550
27.9010	71.18888
27.9510	71.62455
28.0010	70.63758
28.0510	70.24149
28.1010	69.91993
28.1510	71.18301
28.2010	70.62116
28.2510	70.46317
28.3010	71.38359
28.3510	72.10683
28.4010	70.28723
28.4510	70.01320
28.5010	72.51248
28.5510	70.59329
28.6010	71.82735
28.6510	71.00697
28.7010	70.19652
28.7510	70.79704
28.8010	69.39643
28.8510	70.51839
28.9010	69.56134
28.9510	68.23496
29.0010	70.30883
29.0510	68.81890
29.1010	71.04535
29.1510	71.56023
29.2010	69.65307
29.2510	71.08122
29.3010	71.02023
29.3510	70.80026
29.4010	69.93624
29.4510	71.21915
29.5010	72.55302
29.5510	72.71978
29.6010	70.72398
29.6510	69.70065
29.7010	69.64409
29.7510	69.87171
29.8010	72.34402
29.8510	71.64974
29.9010	70.87185
29.9510	71.12694
30.0010	71.40864
30.0510	69.24580
30.1010	71.09830
30.1510	70.75639
30.2010	67.90864
30.2510	69.56304
30.3010	69.56792
30.3510	69.68353
30.4010	70.58649
30.4510	70.87874
30.5010	69.12585
30.5510	71.41201
30.6010	71.87793
30.6510	72.25669
30.7010	72.33151
30.7510	69.34521
30.8010	71.74180
30.8510	72.01703
30.9010	71.93652
30.9510	69.79692
31.0010	70.13342
31.0510	68.27339
31.1010	68.41822
31.1510	70.72843
31.2010	69.74576
31.2510	67.14015
31.3010	68.09863
31.3510	67.53268
31.4010	71.22969
31.4510	70.16121
31.5010	71.56244
31.5510	70.78198
31.6010	70.74357
31.6510	71.15359
31.7010	71.21496
31.7510	70.91751
31.8010	67.30313
31.8510	67.34309
31.9010	70.54477
31.9510	70.41171
32.0010	70.96287
32.0510	70.91286
32.1010	72.44777
32.1510	71.49609
32.2010	69.15635
32.2510	69.60260
32.3010	69.88691
32.3510	68.90029
32.4010	68.91457
32.4510	67.48586
32.5010	68.74992
32.5510	69.12085
32.6010	68.43260
32.6510	69.40958
32.7010	71.22872
32.7510	71.10097
32.8010	71.19744
32.8510	70.05304
32.9010	69.05881
32.9510	68.14793
33.0010	69.69534
33.0510	68.86194
33.1010	66.99449
33.1510	65.63558
33.2010	68.58923
33.2510	68.77338
33.3010	71.15709
33.3510	72.93736
33.4010	70.86012
33.4510	70.27580
33.5010	72.91232
33.5510	72.54786
