Epoch	GAN	Discriminative
0.0010	1.62211	0.47141
0.0510	1.49987	0.48702
0.1010	1.43292	0.51882
0.1510	1.37666	0.55444
0.2010	1.33548	0.58795
0.2510	1.30744	0.61227
0.3010	1.29286	0.62874
0.3510	1.26882	0.65000
0.4010	1.24736	0.67239
0.4510	1.25201	0.67904
0.5010	1.26049	0.68901
0.5510	1.26368	0.70248
0.6010	1.27404	0.71221
0.6510	1.26480	0.72097
0.7010	1.26446	0.72139
0.7510	1.26728	0.72629
0.8010	1.26185	0.74160
0.8510	1.27683	0.73064
0.9010	1.25820	0.74510
0.9510	1.25563	0.74745
1.0010	1.26046	0.76371
1.0510	1.24980	0.76862
1.1010	1.22119	0.78821
1.1510	1.22591	0.78112
1.2010	1.21552	0.78781
1.2510	1.21748	0.79214
1.3010	1.20268	0.81162
1.3510	1.19459	0.81626
1.4010	1.19004	0.82765
1.4510	1.24870	0.80854
1.5010	1.25807	0.79960
1.5510	1.24052	0.81332
1.6010	1.21317	0.82592
1.6510	1.22899	0.82687
1.7010	1.22303	0.82533
1.7510	1.21883	0.82433
1.8010	1.18584	0.81896
1.8510	1.21343	0.83113
1.9010	1.22854	0.83472
1.9510	1.20974	0.82328
2.0010	1.19740	0.83848
2.0510	1.20302	0.84918
2.1010	1.19337	0.85148
2.1510	1.22372	0.83725
2.2010	1.20891	0.83074
2.2510	1.21649	0.82893
2.3010	1.19261	0.84553
2.3510	1.20126	0.84698
2.4010	1.16700	0.86769
2.4510	1.20151	0.85653
2.5010	1.15874	0.88680
2.5510	1.14295	0.87842
2.6010	1.15885	0.90078
2.6510	1.16879	0.88159
2.7010	1.15556	0.88634
2.7510	1.17878	0.87297
2.8010	1.19488	0.87352
2.8510	1.21452	0.88624
2.9010	1.25010	0.85990
2.9510	1.23785	0.86126
3.0010	1.21477	0.85513
3.0510	1.17669	0.88024
3.1010	1.15720	0.87764
3.1510	1.17393	0.89566
3.2010	1.16394	0.89706
3.2510	1.18690	0.89500
3.3010	1.18694	0.88166
3.3510	1.14262	0.89213
3.4010	1.14145	0.89362
3.4510	1.17418	0.90283
3.5010	1.21511	0.85811
3.5510	1.22388	0.88781
3.6010	1.26985	0.84556
3.6510	1.19991	0.85671
3.7010	1.16895	0.88001
3.7510	1.18737	0.90053
3.8010	1.20741	0.87565
3.8510	1.13431	0.91954
3.9010	1.13111	0.92915
3.9510	1.15146	0.89971
4.0010	1.11880	0.91687
4.0510	1.12236	0.90608
4.1010	1.14900	0.91718
4.1510	1.10040	0.93263
4.2010	1.05966	0.96087
4.2510	1.09779	0.95730
4.3010	1.10758	0.92404
4.3510	1.06027	0.97322
4.4010	1.04226	0.98974
4.4510	1.03877	0.99850
4.5010	1.04696	0.97368
4.5510	1.08641	0.95500
4.6010	1.09125	0.96115
4.6510	1.10471	0.97936
4.7010	1.09951	1.00369
4.7510	1.00152	1.04893
4.8010	1.01229	1.04036
4.8510	0.98346	1.04053
4.9010	0.96651	1.06591
4.9510	1.01150	1.04342
5.0010	1.06471	1.02589
5.0510	0.98562	1.06454
5.1010	0.98769	1.03438
5.1510	0.95924	1.06041
5.2010	0.96632	1.06043
5.2510	0.95129	1.08101
5.3010	0.99474	1.07108
5.3510	0.93375	1.10930
5.4010	0.90740	1.11715
5.4510	1.02896	1.02122
5.5010	1.07956	1.01783
5.5510	1.01355	1.05777
5.6010	0.95148	1.12118
5.6510	0.98947	1.10123
5.7010	1.02208	1.05700
5.7510	0.99091	1.08099
5.8010	0.96176	1.09273
5.8510	0.87392	1.16955
5.9010	0.84720	1.19877
5.9510	0.86981	1.20180
6.0010	0.88040	1.17165
6.0510	0.96015	1.08622
6.1010	1.01926	1.08316
6.1510	1.03725	1.08718
6.2010	1.18507	1.05640
6.2510	1.26717	0.97113
6.3010	1.28325	0.90743
6.3510	1.27159	0.89350
6.4010	1.18544	0.93836
6.4510	1.11287	0.97425
6.5010	1.05035	1.01841
6.5510	1.01695	1.04828
6.6010	0.95425	1.09290
6.6510	0.98667	1.06082
6.7010	0.98974	1.08043
6.7510	0.99261	1.08020
6.8010	0.97162	1.09662
6.8510	1.01549	1.07556
6.9010	1.02501	1.07075
6.9510	1.01785	1.06880
7.0010	1.03102	1.04819
7.0510	1.00393	1.07876
7.1010	1.03066	1.10681
7.1510	1.01982	1.09148
7.2010	1.04485	1.08316
7.2510	1.04626	1.07631
7.3010	1.04857	1.08372
7.3510	1.10375	1.04383
7.4010	1.09778	1.02124
7.4510	1.10081	1.04769
7.5010	1.12096	1.01221
7.5510	1.06407	1.03789
7.6010	1.03022	1.06307
7.6510	1.02915	1.05829
7.7010	0.99230	1.07283
7.7510	1.03070	1.05958
7.8010	1.02605	1.07556
7.8510	1.03445	1.05529
7.9010	1.04495	1.09373
7.9510	1.02299	1.08552
8.0010	0.97215	1.12124
8.0510	1.02181	1.09935
8.1010	1.04343	1.07294
8.1510	1.03767	1.07186
8.2010	1.03318	1.12701
8.2510	1.10153	1.10770
8.3010	1.00638	1.11719
8.3510	0.94555	1.16612
8.4010	0.95436	1.16267
8.4510	0.94015	1.15499
8.5010	0.95839	1.16099
8.5510	0.91924	1.16872
8.6010	0.94141	1.14992
8.6510	0.99574	1.14982
8.7010	0.99979	1.16171
8.7510	0.95721	1.18396
8.8010	0.98767	1.16650
8.8510	0.99969	1.16072
8.9010	0.99762	1.15651
8.9510	0.93429	1.23205
9.0010	0.96695	1.20449
9.0510	0.93447	1.19853
9.1010	0.95711	1.18600
9.1510	0.92875	1.19057
9.2010	0.91514	1.21980
9.2510	0.90828	1.23187
9.3010	0.91465	1.23398
9.3510	0.89688	1.25476
9.4010	0.86819	1.26636
9.4510	0.88323	1.28176
9.5010	0.86152	1.29558
9.5510	0.85813	1.30427
9.6010	0.84996	1.30553
9.6510	0.83017	1.30948
9.7010	0.80249	1.31522
9.7510	0.81337	1.33184
9.8010	0.80777	1.32858
9.8510	0.85639	1.31607
9.9010	0.82732	1.35781
9.9510	0.80925	1.37484
10.0010	0.80835	1.39910
10.0510	0.85711	1.34916
10.1010	0.82473	1.36704
10.1510	0.95565	1.26892
10.2010	0.89875	1.32361
10.2510	0.90787	1.30155
10.3010	0.92064	1.31852
10.3510	0.82294	1.39646
10.4010	0.87051	1.35308
10.4510	0.83705	1.40140
10.5010	0.77673	1.42532
10.5510	0.76124	1.45184
10.6010	0.73434	1.48495
10.6510	0.72697	1.49586
10.7010	0.74728	1.46901
10.7510	0.74401	1.46602
10.8010	0.68711	1.52701
10.8510	0.66488	1.56754
10.9010	0.70562	1.51784
10.9510	0.71820	1.52545
11.0010	0.66213	1.56415
11.0510	0.65178	1.55195
11.1010	0.65385	1.56476
11.1510	0.66240	1.55026
11.2010	0.60686	1.60880
11.2510	0.70124	1.56752
11.3010	0.66288	1.57953
11.3510	0.68014	1.54614
11.4010	0.72275	1.51200
11.4510	0.66749	1.57814
11.5010	0.65965	1.59410
11.5510	0.71539	1.53258
11.6010	0.69651	1.60572
11.6510	0.62487	1.66128
11.7010	0.64347	1.64690
11.7510	0.62415	1.67353
11.8010	0.62091	1.68549
11.8510	0.60453	1.68213
11.9010	0.61134	1.67547
11.9510	0.59206	1.67636
12.0010	0.61285	1.65149
12.0510	0.63402	1.64810
12.1010	0.73706	1.59287
12.1510	0.77687	1.53783
12.2010	0.75837	1.55792
12.2510	0.78498	1.52936
12.3010	0.71561	1.59742
12.3510	0.75291	1.59297
12.4010	0.76326	1.61191
12.4510	0.81384	1.56654
12.5010	0.78711	1.56176
12.5510	0.81128	1.55044
12.6010	0.79175	1.58050
12.6510	0.78072	1.59860
12.7010	0.83607	1.54004
12.7510	0.78978	1.56352
12.8010	0.79953	1.53522
12.8510	0.69783	1.61235
12.9010	0.73138	1.58660
12.9510	0.74180	1.57315
13.0010	0.72999	1.55883
13.0510	0.80706	1.54971
13.1010	0.77969	1.55565
13.1510	0.71408	1.60804
13.2010	0.73799	1.59685
13.2510	0.70138	1.68128
13.3010	0.74524	1.64012
13.3510	0.68101	1.71457
13.4010	0.75759	1.64702
13.4510	0.79288	1.61457
13.5010	0.76815	1.63901
13.5510	0.73793	1.63304
13.6010	0.72968	1.63695
13.6510	0.75490	1.60235
13.7010	0.77741	1.58078
13.7510	0.72037	1.67475
13.8010	0.67827	1.68855
13.8510	0.80766	1.59003
13.9010	0.77942	1.59783
13.9510	0.74616	1.62207
14.0010	0.81478	1.59241
14.0510	0.81768	1.55859
14.1010	0.74190	1.62219
14.1510	0.68923	1.68115
14.2010	0.69779	1.65326
14.2510	0.71151	1.68785
14.3010	0.70288	1.71957
14.3510	0.74435	1.68641
14.4010	0.79572	1.60073
14.4510	0.68779	1.66932
14.5010	0.89814	1.64716
14.5510	0.88549	1.56326
14.6010	0.81119	1.64763
14.6510	0.78888	1.63735
14.7010	0.75422	1.62211
14.7510	0.84330	1.57351
14.8010	0.88108	1.51788
14.8510	0.90272	1.50703
14.9010	0.88381	1.49001
14.9510	0.85113	1.57247
15.0010	0.85630	1.62117
15.0510	0.79035	1.61803
15.1010	0.69223	1.70751
15.1510	0.75255	1.64119
15.2010	0.78019	1.67499
15.2510	0.86878	1.53945
15.3010	0.89015	1.50709
15.3510	0.87778	1.52603
15.4010	0.92973	1.46705
15.4510	0.88456	1.49218
15.5010	0.84727	1.55059
15.5510	0.86952	1.51633
15.6010	0.83757	1.56075
15.6510	0.85274	1.51552
15.7010	0.90451	1.51729
15.7510	0.92049	1.49263
15.8010	0.77255	1.63693
15.8510	0.72725	1.65145
15.9010	0.67806	1.71898
15.9510	0.69875	1.74643
16.0010	0.69782	1.73596
16.0510	0.70994	1.73715
16.1010	0.58125	1.88512
16.1510	0.68213	1.75468
16.2010	0.69775	1.75711
16.2510	0.71668	1.73298
16.3010	0.74838	1.67242
16.3510	0.74979	1.70515
16.4010	0.82204	1.72065
16.4510	0.79462	1.65548
16.5010	0.82542	1.64410
16.5510	0.86574	1.60180
16.6010	0.87882	1.56250
16.6510	0.85981	1.58215
16.7010	0.82805	1.61736
16.7510	0.79623	1.64778
16.8010	0.84950	1.58276
16.8510	0.85366	1.60843
16.9010	0.82066	1.60116
16.9510	0.81471	1.61775
17.0010	0.73204	1.74724
17.0510	0.77416	1.70900
17.1010	0.73971	1.72904
17.1510	0.63616	1.85249
17.2010	0.67021	1.85069
17.2510	0.73136	1.79951
17.3010	0.70947	1.86159
17.3510	0.75858	1.79152
17.4010	0.81115	1.69400
17.4510	0.83786	1.65263
17.5010	0.85027	1.63530
17.5510	0.84012	1.66230
17.6010	0.77880	1.75166
17.6510	0.81364	1.74358
17.7010	0.79771	1.71101
17.7510	0.78715	1.75443
17.8010	0.80958	1.70226
17.8510	0.77124	1.74851
17.9010	0.75339	1.77203
17.9510	0.83590	1.76602
18.0010	0.86839	1.70176
18.0510	0.83649	1.68065
18.1010	0.77017	1.73683
18.1510	0.78838	1.68155
18.2010	0.73504	1.75796
18.2510	0.72951	1.79303
18.3010	0.78792	1.75650
18.3510	0.82201	1.71012
18.4010	0.80178	1.70448
18.4510	0.82588	1.66682
18.5010	0.77881	1.70186
18.5510	0.79216	1.70250
18.6010	0.75249	1.77988
18.6510	0.69315	1.84886
18.7010	0.77042	1.78452
18.7510	0.75706	1.76482
18.8010	0.76688	1.75488
18.8510	0.70139	1.80517
18.9010	0.69047	1.82122
