Epoch	P1	P2	P3	P4	P5	P6	P7	P8
0.0010	0.05117	0.48797	0.51337	0.54080	0.56235	0.58076	0.59873	0.61747
0.0510	0.02221	0.36738	0.40756	0.44287	0.47589	0.50031	0.52097	0.53273
0.1010	0.02030	0.36866	0.40732	0.43766	0.46404	0.48188	0.49461	0.49555
0.1510	0.01846	0.36177	0.40062	0.42769	0.45079	0.46669	0.47811	0.48063
0.2010	0.01746	0.35027	0.38859	0.41480	0.43491	0.44946	0.46125	0.46659
0.2510	0.01647	0.33355	0.37012	0.39375	0.41136	0.42417	0.43596	0.44306
0.3010	0.01446	0.30750	0.34165	0.36492	0.38216	0.39524	0.40990	0.41979
0.3510	0.01492	0.30906	0.34128	0.36356	0.37983	0.39205	0.40922	0.42229
0.4010	0.01308	0.29544	0.32845	0.34933	0.36586	0.37872	0.40040	0.41680
0.4510	0.01145	0.28066	0.31208	0.33112	0.34663	0.35786	0.37932	0.39525
0.5010	0.01192	0.28784	0.31914	0.33474	0.34632	0.35494	0.37624	0.39253
0.5510	0.01063	0.27351	0.30413	0.31836	0.33012	0.34013	0.36524	0.38477
0.6010	0.01000	0.25905	0.28933	0.30265	0.31403	0.32368	0.34926	0.36801
0.6510	0.00993	0.26379	0.29274	0.30368	0.31324	0.32170	0.34862	0.36850
0.7010	0.00947	0.25704	0.28284	0.28917	0.29432	0.30138	0.32852	0.34941
0.7510	0.00953	0.27098	0.29555	0.29865	0.30180	0.30714	0.33688	0.35857
0.8010	0.00938	0.26525	0.28996	0.29398	0.29988	0.30634	0.33926	0.36132
0.8510	0.00911	0.27016	0.29478	0.29717	0.30340	0.30783	0.34000	0.35787
0.9010	0.00866	0.26273	0.28906	0.29272	0.30057	0.30665	0.34364	0.36459
0.9510	0.00869	0.25807	0.28358	0.28807	0.29625	0.30144	0.33335	0.35225
1.0010	0.00847	0.25374	0.27998	0.28365	0.29011	0.29454	0.32447	0.34206
1.0510	0.00803	0.25143	0.27891	0.28259	0.28886	0.29488	0.32824	0.35037
1.1010	0.00815	0.25172	0.27899	0.28330	0.29068	0.29981	0.33764	0.36658
1.1510	0.00779	0.24890	0.27685	0.28123	0.29062	0.29941	0.33752	0.36488
1.2010	0.00779	0.24685	0.27502	0.27950	0.29111	0.30085	0.34426	0.37506
1.2510	0.00758	0.24774	0.27740	0.28332	0.29659	0.30780	0.35268	0.38527
1.3010	0.00745	0.23990	0.26765	0.27345	0.28654	0.29916	0.34468	0.37917
1.3510	0.00765	0.25182	0.27944	0.28346	0.29427	0.30393	0.34755	0.38197
1.4010	0.00772	0.25638	0.28406	0.28579	0.29395	0.30143	0.34347	0.37894
1.4510	0.00744	0.25313	0.28169	0.28157	0.28760	0.28273	0.30678	0.33125
1.5010	0.00735	0.24810	0.27692	0.27919	0.28855	0.29101	0.31762	0.33674
1.5510	0.00691	0.23621	0.26646	0.27148	0.28317	0.28978	0.32155	0.34070
1.6010	0.00683	0.24241	0.27427	0.27806	0.28835	0.29695	0.33491	0.35534
1.6510	0.00659	0.23534	0.26650	0.26984	0.27952	0.28700	0.32295	0.34299
1.7010	0.00632	0.22791	0.25733	0.26060	0.26894	0.27741	0.31550	0.33607
1.7510	0.00692	0.24022	0.26747	0.26614	0.26976	0.27308	0.30990	0.32932
1.8010	0.00710	0.25539	0.28180	0.27574	0.27719	0.27998	0.32202	0.34315
1.8510	0.00695	0.24629	0.27213	0.26630	0.26676	0.26694	0.30294	0.32320
1.9010	0.00664	0.24303	0.27233	0.26869	0.27123	0.27199	0.30673	0.32530
1.9510	0.00601	0.22806	0.25874	0.25873	0.26668	0.27177	0.31310	0.33697
2.0010	0.00645	0.23638	0.26651	0.26592	0.27314	0.27987	0.32448	0.34984
2.0510	0.00653	0.23608	0.26743	0.26606	0.27398	0.28119	0.32659	0.35322
2.1010	0.00621	0.22494	0.25551	0.25278	0.25828	0.26311	0.30691	0.33547
2.1510	0.00616	0.22495	0.25598	0.25219	0.25536	0.25455	0.29161	0.31631
2.2010	0.00607	0.22110	0.25328	0.25309	0.26002	0.26311	0.30232	0.32750
2.2510	0.00559	0.21324	0.24746	0.24993	0.25957	0.26409	0.30385	0.32852
2.3010	0.00596	0.22364	0.25661	0.25754	0.26585	0.27190	0.31481	0.34071
2.3510	0.00676	0.23777	0.26814	0.26376	0.26939	0.27483	0.31661	0.34456
2.4010	0.00668	0.24203	0.27208	0.26629	0.27301	0.28203	0.32674	0.35788
2.4510	0.00679	0.23896	0.26676	0.25827	0.26079	0.26566	0.30262	0.32547
2.5010	0.00604	0.22312	0.25248	0.24652	0.25689	0.26866	0.31521	0.34604
