Epoch	Total_loss
0.0010	5.74149
0.0510	4.55988
0.1010	4.45583
0.1510	4.32995
0.2010	4.21218
0.2510	4.03810
0.3010	3.78257
0.3510	3.81583
0.4010	3.68211
0.4510	3.49444
0.5010	3.53795
0.5510	3.40779
0.6010	3.28629
0.6510	3.30263
0.7010	3.17394
0.7510	3.24430
0.8010	3.24353
0.8510	3.23853
0.9010	3.22513
0.9510	3.18418
1.0010	3.14696
1.0510	3.14147
1.1010	3.19664
1.1510	3.16340
1.2010	3.18372
1.2510	3.21622
1.3010	3.17393
1.3510	3.23869
1.4010	3.25493
1.4510	3.10475
1.5010	3.10400
1.5510	3.07415
1.6010	3.14347
1.6510	3.07042
1.7010	2.99607
1.7510	3.03075
1.8010	3.11462
1.8510	3.03461
1.9010	3.04445
1.9510	2.98214
2.0010	3.07085
2.0510	3.09047
2.1010	2.97483
2.1510	2.91389
2.2010	2.93166
2.2510	2.90402
2.3010	2.99614
2.3510	3.07952
2.4010	3.13829
2.4510	3.03037
2.5010	3.02085
2.5510	3.03336
2.6010	2.99925
2.6510	3.02447
2.7010	3.03218
2.7510	2.88952
2.8010	2.85267
2.8510	2.84103
2.9010	2.70953
2.9510	2.71566
3.0010	2.84815
3.0510	2.88101
3.1010	2.86207
3.1510	2.75458
3.2010	2.85211
3.2510	2.78534
3.3010	2.76228
3.3510	2.86139
3.4010	2.93366
3.4510	2.98210
3.5010	2.90330
3.5510	2.83694
3.6010	2.62088
3.6510	2.81854
3.7010	2.80402
3.7510	2.88694
3.8010	2.82652
3.8510	2.86216
3.9010	2.92639
3.9510	2.83036
4.0010	2.89447
4.0510	2.98211
4.1010	3.02535
4.1510	3.20537
4.2010	3.26196
4.2510	3.19788
4.3010	3.13485
4.3510	3.18249
4.4010	3.11056
4.4510	3.16531
4.5010	3.13971
4.5510	3.15720
4.6010	3.14060
4.6510	3.01867
4.7010	3.09009
4.7510	3.20211
4.8010	3.15866
4.8510	3.11225
4.9010	3.19410
4.9510	3.15221
5.0010	3.14897
5.0510	3.22227
5.1010	3.31100
5.1510	3.38867
5.2010	3.26373
5.2510	3.33695
5.3010	3.29063
5.3510	3.39601
5.4010	3.40018
5.4510	3.28765
5.5010	3.08957
5.5510	3.08428
5.6010	3.31390
5.6510	3.21319
5.7010	3.15239
5.7510	3.17224
5.8010	3.23370
5.8510	3.46984
5.9010	3.48607
5.9510	3.51811
6.0010	3.51606
6.0510	3.26290
6.1010	3.19918
6.1510	3.24885
6.2010	3.03269
6.2510	2.77355
6.3010	2.60626
6.3510	2.61925
6.4010	2.78504
6.4510	3.06330
6.5010	3.20041
6.5510	3.30733
6.6010	3.34248
6.6510	3.23731
6.7010	3.22070
6.7510	3.21108
6.8010	3.25085
6.8510	3.25636
6.9010	3.15323
6.9510	3.16212
7.0010	3.13558
7.0510	2.81677
7.1010	2.45737
7.1510	2.35408
7.2010	2.24253
7.2510	2.10102
7.3010	2.07730
7.3510	2.04216
7.4010	1.94793
7.4510	2.01453
7.5010	2.02665
7.5510	2.16111
7.6010	2.20435
7.6510	2.11111
7.7010	2.18906
7.7510	2.20091
7.8010	2.23211
7.8510	2.21776
7.9010	2.19241
7.9510	2.19943
8.0010	2.14650
8.0510	2.11307
8.1010	2.10995
8.1510	2.03004
8.2010	2.03292
8.2510	1.99402
8.3010	1.97318
8.3510	2.00040
8.4010	2.06881
8.4510	2.10272
8.5010	2.10813
8.5510	2.04629
8.6010	2.09525
8.6510	2.01205
8.7010	2.05964
8.7510	2.13769
8.8010	2.10294
8.8510	2.15877
8.9010	2.09484
8.9510	2.06862
9.0010	2.07822
9.0510	2.13405
9.1010	2.06951
9.1510	2.05923
9.2010	2.05582
9.2510	2.08819
9.3010	2.16387
9.3510	2.18643
9.4010	2.15385
9.4510	2.15108
9.5010	2.16387
9.5510	2.18617
9.6010	2.12456
9.6510	2.18079
9.7010	2.22881
9.7510	2.27206
9.8010	2.26742
9.8510	2.18674
9.9010	2.18638
9.9510	2.22573
10.0010	2.24351
10.0510	2.17519
10.1010	2.22247
10.1510	2.02590
10.2010	2.10673
10.2510	2.01348
10.3010	2.15623
10.3510	2.11761
10.4010	2.03642
10.4510	2.08069
10.5010	2.17569
10.5510	2.20855
10.6010	2.13411
10.6510	2.14515
10.7010	2.13058
10.7510	2.09327
10.8010	2.14425
10.8510	2.16458
10.9010	2.13145
10.9510	2.13941
11.0010	2.19919
11.0510	2.17720
11.1010	2.16564
11.1510	2.26984
11.2010	2.25128
